               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11149,            0.068115,            0.027911,            0.003323,             0.17641,           0.0027964,          0.00060547,             0.10279,            0.046697,            0.026601,             0.00013,             0.00013,             0.09883
                   1,             0.10498,            0.078246,            0.026337,             0.50376,             0.12676,           0.0026483,          0.00056294,            0.099618,            0.048867,            0.026038,             0.00027,             0.00027,             0.09757
                   2,             0.10579,            0.071045,            0.026561,           0.0044265,             0.19401,           0.0037152,          0.00060388,            0.097709,             0.05027,            0.025471,             0.00041,             0.00041,             0.09631
                   3,             0.10302,            0.078021,            0.025776,           0.0046217,              0.2838,           0.0038755,          0.00090044,            0.096272,            0.051321,            0.024907,          0.00054999,          0.00054999,             0.09505
                   4,             0.10116,            0.097106,            0.024889,            0.003832,             0.17676,           0.0028661,          0.00071881,             0.09545,            0.051952,            0.024367,          0.00068998,          0.00068998,             0.09379
                   5,             0.10091,            0.083814,            0.024623,           0.0044688,              0.2588,           0.0035318,          0.00086288,             0.09516,            0.052216,            0.023988,          0.00082995,          0.00082995,             0.09253
                   6,              0.1012,            0.092948,            0.024186,            0.004717,             0.28732,           0.0037232,          0.00093086,            0.094761,            0.052504,            0.023561,          0.00096992,          0.00096992,             0.09127
                   7,            0.099508,            0.089949,            0.023029,           0.0045591,             0.25528,           0.0041012,          0.00090885,            0.094298,            0.052782,            0.023112,           0.0011099,           0.0011099,             0.09001
                   8,            0.098775,            0.072968,            0.022718,           0.0042555,             0.25176,           0.0036221,          0.00082557,            0.093735,            0.053128,            0.022671,           0.0012498,           0.0012498,             0.08875
                   9,            0.099092,            0.085792,             0.02247,           0.0044178,             0.23028,            0.003689,          0.00084646,            0.093455,            0.053318,            0.022279,           0.0013897,           0.0013897,             0.08749
                  10,            0.095975,            0.091767,             0.02271,           0.0049594,             0.29085,           0.0037886,          0.00089683,            0.093218,            0.053445,            0.021964,           0.0015297,           0.0015297,             0.08623
                  11,            0.098582,            0.085485,            0.022573,           0.0047408,             0.26937,           0.0036513,          0.00081769,            0.092738,            0.053679,            0.021681,           0.0016696,           0.0016696,             0.08497
                  12,            0.095572,            0.092525,            0.022197,           0.0035314,             0.10563,           0.0023189,           0.0005616,            0.097339,            0.052241,            0.022066,           0.0018094,           0.0018094,            0.083709
                  13,            0.097456,            0.079909,            0.021918,           0.0055994,            0.035211,           0.0029027,          0.00066228,            0.096294,            0.053159,            0.021474,           0.0019493,           0.0019493,            0.082449
                  14,             0.09671,             0.08139,            0.021171,           0.0044471,             0.15528,           0.0030624,          0.00071898,             0.09677,            0.052934,            0.021213,           0.0020891,           0.0020891,            0.081189
                  15,            0.094227,            0.086449,            0.021004,             0.00408,             0.24437,           0.0029925,            0.000719,            0.096648,             0.05271,            0.020995,           0.0022289,           0.0022289,            0.079929
                  16,            0.096154,            0.084582,            0.021035,           0.0051653,            0.098592,           0.0033263,           0.0007439,            0.094386,             0.05346,            0.020269,           0.0023687,           0.0023687,            0.078669
                  17,            0.093741,            0.078862,            0.021179,           0.0081074,            0.066901,           0.0035707,          0.00076972,            0.092411,            0.054325,            0.020379,           0.0025084,           0.0025084,            0.077408
                  18,            0.096942,            0.074555,            0.020056,           0.0067883,            0.073944,           0.0032125,          0.00068981,             0.09302,            0.054187,            0.020171,           0.0026481,           0.0026481,            0.076148
                  19,            0.097718,            0.084769,            0.020066,            0.006237,            0.024648,           0.0029417,          0.00073777,            0.094645,            0.053507,            0.019986,           0.0027878,           0.0027878,            0.074888
                  20,            0.094699,            0.083124,            0.019842,           0.0049359,            0.091549,           0.0026306,          0.00055572,            0.097259,            0.052963,            0.020335,           0.0029274,           0.0029274,            0.073627
                  21,            0.094656,            0.089382,            0.019465,           0.0061784,            0.088028,           0.0032815,           0.0006334,            0.094753,            0.053961,            0.019696,            0.003067,            0.003067,            0.072367
                  22,            0.094409,            0.083514,             0.01912,           0.0087011,            0.042254,           0.0033958,          0.00067481,            0.095641,            0.053543,            0.019861,           0.0032066,           0.0032066,            0.071107
                  23,            0.095282,            0.089406,            0.020983,           0.0092358,            0.091549,           0.0038546,          0.00079073,            0.096927,             0.05319,            0.019618,           0.0033461,           0.0033461,            0.069846
                  24,            0.096749,            0.086525,            0.020302,           0.0082272,            0.084507,           0.0036655,           0.0008277,            0.098295,            0.052806,            0.019188,           0.0034855,           0.0034855,            0.068586
                  25,            0.095583,            0.081618,            0.019993,           0.0072004,            0.084507,           0.0030498,          0.00064152,            0.098355,             0.05318,            0.019509,            0.003625,            0.003625,            0.067325
                  26,            0.096137,             0.09208,            0.018579,           0.0061712,             0.09507,           0.0040549,          0.00081929,            0.096967,            0.053247,            0.018827,           0.0037643,           0.0037643,            0.066064
                  27,            0.093231,            0.082466,            0.019308,            0.011494,             0.17641,           0.0076057,           0.0030133,            0.097155,            0.053555,            0.018639,           0.0039037,           0.0039037,            0.064804
                  28,            0.094271,            0.085278,            0.018768,           0.0075304,            0.052817,            0.003543,          0.00072274,            0.097754,            0.052801,            0.019102,            0.004043,            0.004043,            0.063543
                  29,            0.094804,            0.090033,            0.019747,           0.0068589,            0.070423,           0.0032872,          0.00065539,            0.096642,            0.053345,            0.018539,           0.0041822,           0.0041822,            0.062282
